model,n,retain,region,idx,V0_is,g0,time_s,time_ms,max_relative_observable_error,spectrum_relative_l2_error,spectrum_pointwise_max_relative_error,half_life_relative_error
EM1,8,0.9,fit region,139,0.571,0.643,0.0008900419998099096,0.8900419998099096,0.07932112780776024,0.07932112780776024,0.09212212883530993,0.0004825049790943838
EM1,8,0.9,fit region,140,0.714,0.643,0.00097812499916472,0.9781249991647201,0.08167046695068846,0.08167046695068846,0.10298019839853427,0.0015103945014855753
EM1,8,0.9,fit region,141,0.857,0.643,0.0008664590004627826,0.8664590004627826,0.08510345373956864,0.08510345373956864,0.11536654070862763,0.003835537974980122
EM1,8,0.9,fit region,142,1.0,0.643,0.0009204580001096474,0.9204580001096474,0.08812723216803105,0.08812723216803105,0.1263010660417532,0.004553713485069739
EM1,8,0.9,fit region,143,1.143,0.643,0.000907375000679167,0.907375000679167,0.08740316016262058,0.08740316016262058,0.08078646914429691,0.002461193614362164
EM1,8,0.9,fit region,144,1.286,0.643,0.0008844999993016245,0.8844999993016245,0.0845078286904857,0.0845078286904857,0.07895323854351607,0.0018523353331148878
EM1,8,0.9,fit region,145,1.429,0.643,0.0008288749995699618,0.8288749995699618,0.0753154064601853,0.0753154064601853,0.04652194320862716,0.005484658786468654
EM1,8,0.9,fit region,146,1.571,0.643,0.0008811250008875504,0.8811250008875504,0.05410371978679182,0.05410371978679182,0.030291914605062354,0.0034264978841923445
EM1,8,0.9,fit region,147,1.714,0.643,0.0008435409999947296,0.8435409999947296,0.04110213139935228,0.04110213139935228,0.02827263593149187,0.011184308212351128
EM1,8,0.9,test/extrapolation region,148,1.857,0.643,0.0008477089995722054,0.8477089995722054,0.05698335725041036,0.05698335725041036,0.0423831858690061,0.04726954733117356
EM1,8,0.9,test/extrapolation region,149,2.0,0.643,0.0008396670000365702,0.8396670000365702,0.11739190572613138,0.06854330529969728,0.049030394182542444,0.11739190572613138
EM1,8,0.9,test/extrapolation region,150,0.0,0.714,0.000834165999549441,0.834165999549441,0.08006635259443745,0.08006635259443745,0.08812612038514576,0.017546550704785596
EM1,8,0.9,test/extrapolation region,151,0.143,0.714,0.0008945420013333205,0.8945420013333205,0.07674962399174211,0.07674962399174211,0.07636244052369948,0.009146042350953234
EM1,8,0.9,fit region,152,0.286,0.714,0.0008458339998469455,0.8458339998469455,0.07443898080627058,0.07443898080627058,0.06923534621632535,0.0031984291774029222
EM1,8,0.9,fit region,153,0.429,0.714,0.0008892909991118358,0.8892909991118358,0.07320917601785708,0.07320917601785708,0.07228304143766803,0.00029653192907016515
EM1,8,0.9,fit region,154,0.571,0.714,0.0008619170002930332,0.8619170002930332,0.0732771095735678,0.0732771095735678,0.08125933873792145,0.00030761482766987605
